@RELATION 'Cardiotocography, with normalization, downsampled to 10 pct, v02'

@ATTRIBUTE 'LB' real
@ATTRIBUTE 'AC' real
@ATTRIBUTE 'FM' real
@ATTRIBUTE 'UC' real
@ATTRIBUTE 'ASTV' real
@ATTRIBUTE 'MSTV' real
@ATTRIBUTE 'ALTV' real
@ATTRIBUTE 'MLTV' real
@ATTRIBUTE 'DL' real
@ATTRIBUTE 'DS' real
@ATTRIBUTE 'DP' real
@ATTRIBUTE 'Width' real
@ATTRIBUTE 'Min' real
@ATTRIBUTE 'Max' real
@ATTRIBUTE 'Nmax' real
@ATTRIBUTE 'Nzeros' real
@ATTRIBUTE 'Mode' real
@ATTRIBUTE 'Mean' real
@ATTRIBUTE 'Median' real
@ATTRIBUTE 'Variance' real
@ATTRIBUTE 'Tendency' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'yes','no'}

@DATA
0.6111111111111112,0.038461538461538464,0.0017730496453900709,0.11764705882352941,0.6805555555555556,0.029411764705882356,0.08791208791208792,0.126232741617357,0.0,0.0,0.0,0.08092485549132948,0.8073394495412844,0.28448275862068967,0.05555555555555555,0.0,0.6850393700787402,0.6697247706422018,0.6346153846153846,0.0,0.5,743.0,'yes'
0.2777777777777778,0.0,0.0017730496453900709,0.17647058823529413,0.7777777777777778,0.27941176470588236,0.0,0.0,0.6428571428571429,1.0,0.0,0.5722543352601156,0.045871559633027525,0.3017241379310345,0.16666666666666666,0.1,0.05511811023622047,0.05504587155963303,0.0,0.30855018587360594,0.0,1795.0,'yes'
0.2777777777777778,0.0,0.0,0.11764705882352941,0.16666666666666666,0.1911764705882353,0.0,0.0,0.21428571428571427,0.0,0.3333333333333333,0.37572254335260113,0.1926605504587156,0.14655172413793102,0.1111111111111111,0.0,0.49606299212598426,0.30275229357798167,0.25,0.1970260223048327,0.5,1381.0,'yes'
0.4074074074074074,0.0,0.0,0.4117647058823529,0.25,0.14705882352941177,0.0,0.28007889546351084,0.0,0.0,0.0,0.4277456647398844,0.6330275229357798,0.6379310344827587,0.16666666666666666,0.0,0.6929133858267716,0.7431192660550459,0.7019230769230769,0.048327137546468404,0.5,266.0,'yes'
0.6851851851851852,0.0,0.0,0.058823529411764705,0.7361111111111112,0.04411764705882353,0.0,0.18145956607495067,0.0,0.0,0.0,0.11560693641618497,0.7247706422018348,0.25862068965517243,0.1111111111111111,0.1,0.6535433070866141,0.6422018348623854,0.6057692307692307,0.0037174721189591076,0.5,424.0,'yes'
0.5185185185185185,0.0,0.0070921985815602835,0.0,0.9305555555555556,0.0,0.46153846153846156,0.10848126232741617,0.0,0.0,0.0,0.08092485549132948,0.7155963302752294,0.19827586206896552,0.1111111111111111,0.0,0.5905511811023622,0.5688073394495413,0.5192307692307693,0.0037174721189591076,0.5,749.0,'yes'
0.25925925925925924,0.0,0.0,0.35294117647058826,0.7083333333333334,0.2647058823529412,0.0,0.0,0.8571428571428571,0.0,0.6666666666666666,0.7225433526011561,0.11926605504587157,0.5948275862068966,0.6666666666666666,0.2,0.3700787401574803,0.1834862385321101,0.23076923076923078,0.13382899628252787,0.0,1775.0,'yes'
0.7037037037037037,0.0,0.024822695035460994,0.0,0.875,0.0,0.5714285714285714,0.11045364891518736,0.0,0.0,0.0,0.07514450867052024,0.7889908256880734,0.25862068965517243,0.05555555555555555,0.0,0.6692913385826772,0.6513761467889908,0.6153846153846154,0.0,0.5,301.0,'yes'
0.7037037037037037,0.0,0.0035460992907801418,0.058823529411764705,0.9166666666666666,0.058823529411764705,0.25274725274725274,0.21696252465483234,0.07142857142857142,0.0,0.0,0.7109826589595376,0.22018348623853212,0.6724137931034483,0.2777777777777778,0.0,0.6771653543307087,0.6605504587155964,0.625,0.011152416356877323,0.5,466.0,'yes'
0.5,0.0,0.01950354609929078,0.17647058823529413,0.6666666666666666,0.04411764705882353,0.15384615384615385,0.22485207100591714,0.0,0.0,0.0,0.44508670520231214,0.1651376146788991,0.22413793103448276,0.2222222222222222,0.0,0.6062992125984252,0.5779816513761468,0.5384615384615384,0.007434944237918215,1.0,359.0,'yes'
0.46296296296296297,0.038461538461538464,0.4450354609929078,0.11764705882352941,0.08333333333333333,0.32352941176470584,0.0,0.27416173570019725,0.21428571428571427,0.0,0.3333333333333333,0.6011560693641619,0.1559633027522936,0.4482758620689655,0.2777777777777778,0.0,0.5826771653543307,0.47706422018348627,0.4807692307692308,0.16728624535315986,0.5,18.0,'yes'
0.5,0.0,0.0017730496453900709,0.29411764705882354,0.6944444444444444,0.25,0.0,0.08284023668639053,0.21428571428571427,0.0,0.6666666666666666,0.5895953757225434,0.09174311926605505,0.3706896551724138,0.2222222222222222,0.0,0.5354330708661418,0.3211009174311927,0.3269230769230769,0.26394052044609667,0.5,1946.0,'yes'
