feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,label
63.93704566890536,70.02361236037719,71.79315909047698,59.01342957188824,63.61794420942945,69.01355769674372,67.44427411354351,57.669046427576674,68.78277355241731,69.49241694073152,71.39711492992487,57.59089322446468,63.79887862723557,66.3276012506858,69.21816620690313,54.209202015516155,61.707264141540406,63.402274101654136,66.92111799698034,56.03385185514111,67.35436669395081,66.33019725479588,67.83120805018942,56.162212820159745,63.44845197168951,64.34976694490427,70.12529300677079,55.91604021133958,61.61914850792552,69.58163554838052,71.03001333916866,56.428646074256946,65.37780784925761,68.26536263737908,66.18980303174084,58.08280091878199,0.0
69.20183040033999,79.3570151800378,76.48678157062841,58.60816031421072,69.86908939337431,75.9961239094873,79.24263777659493,61.697297420817755,70.44796502116881,77.75653295335766,77.29743701392816,59.50416400955298,70.65851254512668,76.78985670310675,77.59967131334606,61.976927203948165,67.38643621276705,76.69595539301298,74.60846180925165,59.04096731095312,64.23065243240808,73.44086500401397,73.87384443047895,55.263302486865015,67.85055948857034,76.26217061277156,73.93000975397437,58.20219013097567,68.12281047356899,75.2644718547657,73.48978281972073,59.87771324951145,69.2635497052911,72.01708879494582,75.16199053146818,61.91545173313373,0.0
71.03177369973425,84.08729940182131,68.91423362440406,48.341494235023916,67.82792436369145,80.86346852092801,72.22482610324492,51.63404860620077,68.25936774624131,79.56100836039454,72.00782955549778,52.275865771065384,67.58832881448507,76.56990613159404,76.50067029292721,56.08840003727743,66.86386572205022,75.44593869214701,79.28956556230487,57.10430971202005,65.02978235923212,80.5400498760873,80.71680921416763,62.25307560425467,66.57763360034731,75.49047063868171,78.52202990714797,61.202140927257176,64.8886591093107,77.15682506646702,81.12918092026365,61.02207177788185,69.46767481620753,82.60579918332935,84.3803632685386,66.07122488595296,0.0
68.59889447907253,73.97386821088281,83.62685680272106,64.06604777601154,65.01592105873509,68.8087924677394,78.03919043732805,61.97454013148009,67.2833484670489,69.9630085356782,79.18951739322753,58.490514952420604,70.34069406477657,76.0350013685051,78.08140616785754,59.61508925111289,70.3060992910629,73.74796602418937,72.79451201625726,59.25723358610761,65.8101665919915,74.80356018108853,72.02649608475062,57.34507424937102,63.30623431206181,73.1690400946915,78.04189217826702,58.13748452413122,69.1076503425792,72.90087273855531,76.9586294640574,58.95072725162802,68.95874897922263,79.94292134637203,78.7769132092732,57.72975632093873,0.0
67.60259308773941,71.72986414333273,79.27484873807282,62.596677418387166,64.17720890749649,73.20295341614485,76.31536700194643,60.50756783044146,65.03083302417326,77.28232239984207,82.74896578923594,58.21417138800327,65.30845307935247,72.78894961276552,72.31499925449927,54.40000320924857,65.40748354122726,70.88319895933645,73.13925472525756,57.64961307058205,62.55569396593148,70.34467948266129,73.32139574664228,55.519248013633614,65.36643059204637,75.23775348821961,72.61150537820936,57.14980060287168,64.9784382440497,75.20190757298094,76.71563958401534,60.322703361171584,63.480290296154806,69.90973555724042,73.806891602813,60.466408602065016,0.0
64.16561786195545,77.43665828602057,79.40682504739094,56.126426964114835,68.79649477231303,73.01304256482547,72.86606793484478,58.068512830172295,64.94125586238964,73.66096316307396,74.26339895498467,56.17122942557951,68.1666081270768,73.47589182860295,76.17793136781357,59.987743373408925,69.31588399572408,73.8577625544556,71.84499208488377,60.44407323305444,65.03016144666812,70.24419416864535,70.14389952400015,56.75887299631218,67.45500194573545,74.27464188480467,73.35843100505866,57.09543889426992,69.2386948665222,78.70834789278673,73.83083788139984,57.235126093010805,66.86457073266939,69.16640061730476,71.52196973105009,58.21114542081913,0.0
68.95088393601509,78.90806801086029,65.66803911149646,44.61603665669173,69.56470332672413,79.98066434052913,73.94440221685534,49.836758126087084,67.89577238559852,76.81260910356303,73.79147648034211,51.07666963729788,66.52150035261334,73.23355700642546,72.18769883559138,52.55872230430756,62.398754529154594,76.40344668136684,77.68078102178882,62.589951885734344,61.44823164837746,77.56205440038998,76.66470724460241,62.47252071760565,62.901770260624005,75.80749904092056,76.63104726903974,57.20992451059579,63.48007745039502,74.56093217600734,76.63764482865669,61.12955371621533,62.675455825791744,74.98210439268749,80.22481629254443,62.236971037451,0.0
67.42020058813478,75.29174470001988,76.49458352348019,58.931416495326765,63.10608256697154,70.69015810698791,77.97894154217677,65.48659996344006,65.73344691089663,70.05173077550111,76.98423488095787,65.20526949600111,62.44733950964158,68.38246982054771,78.9749571973957,62.594285879145914,64.98050984883514,71.88984278121919,78.3724519946507,60.42639819336631,62.9688585374647,69.59313686623105,67.44168608447268,56.38371785062699,61.028651651821484,70.14109467908274,69.48084248998146,60.04187069904278,63.1036037854548,70.539733217555,71.57037966331586,58.5953730542004,64.31550259479363,67.23769722827677,69.71816759921516,53.48586228471539,0.0
65.73011205623013,70.48994026260424,72.15707973917796,54.42131089587451,66.49699435968542,75.52510219480645,71.0752636583872,54.39798211642816,63.39508267374513,71.44385282745083,73.96416974634515,56.17431025755524,64.36456212045144,74.78991579424012,73.72953382179776,57.01522144997413,69.48853273049862,75.330851734987,78.56991258262153,59.331587525791356,65.82172825005276,76.09461825633541,77.50836311499535,57.40491760931215,65.56255949323229,74.97578751641605,73.34825390203797,59.72016239901498,66.84266111355458,76.9010497754416,77.60876572418935,63.00481949870722,68.38646573029672,76.70726503859537,80.30216231394319,60.50066415983665,0.0
64.38211403837688,77.87995974719855,76.37296766753741,55.417918185303975,67.30844523236273,77.18370407238591,74.95424056057158,53.702156703386166,67.90882745810126,75.57698191775799,73.28181206074218,55.40128603574128,68.01546654890954,75.39440479104094,78.41842116260867,59.67807754958538,66.1646920321679,75.89315063470445,77.85327795848254,59.10477104023002,66.56674878975593,76.1861024064519,74.28707525451337,61.317062447143755,64.84079421772832,75.84145233157852,79.53199685827322,59.31467907960399,66.44977046453685,74.2798568129038,79.63622970569075,61.115064064200105,69.17929225181965,79.66326827821689,81.20027910378029,59.989572271186425,0.0
