support	itemsets
0.948	frozenset({'Success'})
0.12	frozenset({'RePEN'})
0.118	frozenset({'Success', 'RePEN'})
0.112	frozenset({'GOAD'})
0.112	frozenset({'DeepSVDD'})
0.108	frozenset({'Success', 'DeepSVDD'})
0.106	frozenset({'RCA'})
0.104	frozenset({'Success', 'GOAD'})
0.102	frozenset({'Success', 'RCA'})
0.102	frozenset({'NeuTraL'})
0.1	frozenset({'ICL'})
0.1	frozenset({'RoSAS'})
0.098	frozenset({'Success', 'ICL'})
0.096	frozenset({'Success', 'NeuTraL'})
0.094	frozenset({'Success', 'RoSAS'})
0.094	frozenset({'PReNet'})
0.09	frozenset({'DeepSAD'})
0.09	frozenset({'Success', 'PReNet'})
0.088	frozenset({'SLAD'})
0.086	frozenset({'Success', 'SLAD'})
0.086	frozenset({'Success', 'DeepSAD'})
0.08	frozenset({'DevNet'})
0.078	frozenset({'RePEN', 'DeepSVDD'})
0.078	frozenset({'Success', 'DevNet'})
0.076	frozenset({'Success', 'RePEN', 'DeepSVDD'})
0.072	frozenset({'GOAD', 'DeepSVDD'})
0.07	frozenset({'NeuTraL', 'RePEN'})
0.068	frozenset({'Success', 'GOAD', 'DeepSVDD'})
0.068	frozenset({'Success', 'NeuTraL', 'RePEN'})
0.062	frozenset({'DevNet', 'DeepSAD'})
0.06	frozenset({'DeepSAD', 'DeepSVDD'})
0.06	frozenset({'Success', 'DevNet', 'DeepSAD'})
