support	itemsets
0.948	frozenset({'Success'})
0.12	frozenset({'RePEN'})
0.118	frozenset({'Success', 'RePEN'})
0.112	frozenset({'GOAD'})
0.112	frozenset({'DeepSVDD'})
0.108	frozenset({'Success', 'DeepSVDD'})
0.106	frozenset({'RCA'})
0.104	frozenset({'Success', 'GOAD'})
0.102	frozenset({'Success', 'RCA'})
0.102	frozenset({'NeuTraL'})
0.1	frozenset({'RoSAS'})
0.1	frozenset({'ICL'})
0.098	frozenset({'Success', 'ICL'})
0.096	frozenset({'Success', 'NeuTraL'})
0.094	frozenset({'Success', 'RoSAS'})
0.094	frozenset({'PReNet'})
0.09	frozenset({'DeepSAD'})
0.09	frozenset({'Success', 'PReNet'})
0.088	frozenset({'SLAD'})
0.086	frozenset({'Success', 'DeepSAD'})
0.086	frozenset({'Success', 'SLAD'})
0.08	frozenset({'DevNet'})
0.078	frozenset({'RePEN', 'DeepSVDD'})
0.078	frozenset({'Success', 'DevNet'})
0.076	frozenset({'Success', 'RePEN', 'DeepSVDD'})
0.072	frozenset({'GOAD', 'DeepSVDD'})
0.07	frozenset({'NeuTraL', 'RePEN'})
0.068	frozenset({'Success', 'GOAD', 'DeepSVDD'})
0.068	frozenset({'Success', 'NeuTraL', 'RePEN'})
0.062	frozenset({'DevNet', 'DeepSAD'})
0.06	frozenset({'Success', 'DevNet', 'DeepSAD'})
0.06	frozenset({'DeepSAD', 'DeepSVDD'})
0.056	frozenset({'GOAD', 'DeepSAD'})
0.056	frozenset({'NeuTraL', 'RePEN', 'DeepSVDD'})
0.056	frozenset({'NeuTraL', 'DeepSVDD'})
0.056	frozenset({'Success', 'DeepSAD', 'DeepSVDD'})
0.054	frozenset({'GOAD', 'RoSAS'})
0.054	frozenset({'Success', 'NeuTraL', 'RePEN', 'DeepSVDD'})
0.054	frozenset({'Success', 'NeuTraL', 'DeepSVDD'})
0.052	frozenset({'Success', 'GOAD', 'DeepSAD'})
0.052	frozenset({'RoSAS', 'DeepSVDD'})
0.052	frozenset({'Success', 'GOAD', 'RoSAS'})
0.05	frozenset({'GOAD', 'RePEN'})
0.05	frozenset({'NeuTraL', 'DeepSAD'})
0.05	frozenset({'RoSAS', 'Success', 'DeepSVDD'})
0.048	frozenset({'Success', 'GOAD', 'RePEN'})
0.048	frozenset({'DeepSAD', 'RePEN'})
0.048	frozenset({'Success', 'NeuTraL', 'DeepSAD'})
0.046	frozenset({'GOAD', 'DeepSAD', 'DeepSVDD'})
0.046	frozenset({'ICL', 'DevNet'})
0.046	frozenset({'Success', 'DeepSAD', 'RePEN'})
0.044	frozenset({'Success', 'ICL', 'DevNet'})
0.042	frozenset({'NeuTraL', 'DeepSAD', 'RePEN'})
0.042	frozenset({'DeepSAD', 'RePEN', 'DeepSVDD'})
0.042	frozenset({'RoSAS', 'GOAD', 'DeepSVDD'})
0.042	frozenset({'GOAD', 'DevNet'})
0.042	frozenset({'DevNet', 'DeepSVDD'})
0.042	frozenset({'Success', 'GOAD', 'DeepSAD', 'DeepSVDD'})
0.04	frozenset({'DevNet', 'DeepSAD', 'DeepSVDD'})
0.04	frozenset({'Success', 'GOAD', 'DevNet'})
0.04	frozenset({'Success', 'DeepSAD', 'RePEN', 'DeepSVDD'})
0.04	frozenset({'GOAD', 'NeuTraL'})
0.04	frozenset({'Success', 'DevNet', 'DeepSVDD'})
0.04	frozenset({'Success', 'GOAD', 'RoSAS', 'DeepSVDD'})
0.04	frozenset({'RCA', 'SLAD'})
0.04	frozenset({'Success', 'RCA', 'SLAD'})
0.04	frozenset({'Success', 'NeuTraL', 'DeepSAD', 'RePEN'})
0.04	frozenset({'Success', 'SLAD', 'RePEN'})
0.04	frozenset({'SLAD', 'RePEN'})
0.04	frozenset({'GOAD', 'RePEN', 'DeepSVDD'})
0.038	frozenset({'GOAD', 'DevNet', 'DeepSAD'})
0.038	frozenset({'Success', 'GOAD', 'NeuTraL'})
0.038	frozenset({'Success', 'GOAD', 'RePEN', 'DeepSVDD'})
0.038	frozenset({'GOAD', 'NeuTraL', 'RePEN'})
0.038	frozenset({'Success', 'DevNet', 'DeepSAD', 'DeepSVDD'})
0.036	frozenset({'Success', 'GOAD', 'NeuTraL', 'RePEN'})
0.036	frozenset({'Success', 'GOAD', 'DevNet', 'DeepSAD'})
0.036	frozenset({'ICL', 'DeepSAD'})
0.036	frozenset({'NeuTraL', 'DeepSAD', 'RePEN', 'DeepSVDD'})
0.036	frozenset({'NeuTraL', 'DeepSAD', 'DeepSVDD'})
0.036	frozenset({'GOAD', 'DevNet', 'DeepSVDD'})
0.034	frozenset({'Success', 'SLAD', 'NeuTraL', 'RePEN'})
0.034	frozenset({'Success', 'DeepSAD', 'RePEN', 'NeuTraL', 'DeepSVDD'})
